iter	RMSE
0	4.817174657
1	4.452636861
2	4.120603817
3	3.800769527
4	3.514872555
5	3.252175295
6	3.008670019
7	2.78135964
8	2.575762651
9	2.382973969
10	2.204509959
11	2.041984674
12	1.888877355
13	1.748052639
14	1.616093335
15	1.494056229
16	1.38362392
17	1.280412932
18	1.188459477
19	1.100304859
20	1.018090232
21	0.944743902
22	0.875366077
23	0.8101413416
24	0.7502821575
25	0.6958439652
26	0.6464646938
27	0.6000439529
28	0.5562331664
29	0.5176672296
30	0.4821629264
31	0.4487968296
32	0.4174036653
33	0.3883974024
34	0.3621456418
35	0.3384758105
36	0.3162356958
37	0.2960011799
38	0.2767382011
39	0.2597714434
40	0.2443267232
41	0.2298097923
42	0.2172075607
43	0.2048722024
44	0.1934414558
45	0.183246277
46	0.1736107069
47	0.1650416047
48	0.1574811939
49	0.1503688258
50	0.1438808848
51	0.1377366839
52	0.1322781827
53	0.1273459728
54	0.1227370906
55	0.1182986521
56	0.1143733324
57	0.1109473884
58	0.1076882053
