iter	Passed	Remaining
0	5	522
1	22	1124
2	39	1281
3	42	1024
4	60	1149
5	77	1214
6	94	1257
7	112	1292
8	128	1296
9	165	1486
10	203	1648
11	223	1636
12	238	1598
13	253	1557
14	269	1526
15	287	1510
16	304	1485
17	323	1471
18	344	1466
19	379	1518
20	411	1547
21	432	1531
22	446	1496
23	461	1460
24	473	1421
25	488	1391
26	502	1358
27	517	1330
28	593	1452
29	620	1448
30	634	1411
31	648	1378
32	657	1335
33	695	1350
34	736	1367
35	775	1378
36	794	1353
37	811	1324
38	825	1291
39	839	1259
40	855	1230
41	889	1228
42	915	1213
43	921	1172
44	953	1165
45	981	1151
46	999	1126
47	1019	1104
48	1037	1080
49	1052	1052
50	1128	1084
51	1149	1061
52	1172	1039
53	1200	1022
54	1219	997
55	1233	969
56	1248	941
57	1261	913
58	1279	888
