iter	RMSE
0	0.395728183
1	0.384548457
2	0.3736153347
3	0.3629460984
4	0.3536095399
5	0.3440198037
6	0.3342461873
7	0.3255890938
8	0.3173858076
9	0.3095883141
10	0.3027347657
11	0.2958622406
12	0.2893447878
13	0.2828669198
14	0.276517273
15	0.2711209069
16	0.2664966334
17	0.2611430671
18	0.2558259582
19	0.2510911522
20	0.2466017881
21	0.2427243781
22	0.2387743887
23	0.2351276264
24	0.2306511276
25	0.2267010716
26	0.2230206917
27	0.2195284824
28	0.2162913947
29	0.2132315425
30	0.2100486259
31	0.2068545936
32	0.2042262922
33	0.2017355063
34	0.1988786335
35	0.1964995081
36	0.193969342
37	0.1917778759
38	0.1897157835
39	0.1876599265
40	0.1859114598
41	0.1838712058
42	0.1819393198
43	0.1801072995
44	0.1782514165
45	0.1765326353
46	0.1750234909
47	0.1736050332
48	0.1721150353
49	0.1708349486
50	0.1692975239
51	0.1676768045
52	0.1662709408
53	0.1650979195
54	0.1637016503
55	0.1624669209
56	0.1613822995
57	0.1603676913
58	0.1592838556
59	0.1581095148
60	0.1571818267
61	0.1562975173
62	0.1553829132
63	0.1545499361
64	0.1537837902
65	0.1528463336
66	0.1519737284
67	0.1511633935
68	0.1503661589
69	0.1496413072
70	0.1489403247
71	0.1481474973
72	0.1475223359
73	0.1469142857
74	0.1463238905
75	0.1455411042
76	0.1450970541
77	0.1446148448
78	0.1441973061
79	0.1436498606
80	0.1430455637
81	0.1425416561
82	0.1419937689
83	0.1414649487
84	0.1409760448
85	0.1404537543
86	0.139850279
87	0.1393934594
88	0.1389569738
89	0.1383946975
90	0.1378857188
91	0.1373979107
92	0.1370017844
93	0.1365148342
94	0.136064715
95	0.135698341
96	0.135406905
97	0.1350332546
98	0.1347572205
99	0.1344532847
100	0.1340315129
101	0.1336257949
102	0.1333282033
103	0.133055941
104	0.1326793436
105	0.1323528219
106	0.1319361721
107	0.1316562068
108	0.1312984914
109	0.1309044497
110	0.1305292372
111	0.1301796585
112	0.1299269209
113	0.1295558155
114	0.1293050405
115	0.1292467576
116	0.1289088372
117	0.1288487352
118	0.1287895379
119	0.1285379183
120	0.1284694002
121	0.1281791317
122	0.1279749775
123	0.1278127372
124	0.1277603392
125	0.1275777531
126	0.1272960777
127	0.1269682388
128	0.1266615343
129	0.1264637868
130	0.1262418042
131	0.1260705826
132	0.1258856125
133	0.1256512668
134	0.1254994067
135	0.1253234074
136	0.1250932913
137	0.1249252414
138	0.124678035
139	0.1243787969
140	0.1241090701
141	0.1237761236
142	0.1236589212
143	0.1234197231
144	0.1231931305
145	0.1228546387
146	0.1227178152
147	0.1225098846
148	0.1223525972
149	0.1221740986
150	0.1219433807
151	0.1217263503
152	0.121490157
153	0.1214190333
154	0.1212438919
155	0.1211026576
156	0.1208907967
157	0.1207107366
158	0.1205070758
159	0.1203243245
160	0.1202420381
161	0.1200137282
162	0.1199086257
163	0.1197229601
164	0.1195547102
165	0.1194752209
166	0.1193654448
167	0.1192074125
168	0.1189996212
169	0.1187251702
170	0.1184887948
171	0.1182414315
172	0.118189714
173	0.1180250535
174	0.1178437405
175	0.117650839
176	0.1174856022
177	0.1173240661
178	0.1171650003
179	0.1170356017
180	0.1169249445
181	0.1168675278
182	0.116812137
183	0.116622816
184	0.1164255349
185	0.116278654
186	0.1161438295
187	0.1159728333
188	0.1159285683
189	0.1157946617
190	0.1157431606
191	0.1155839079
192	0.1154393245
193	0.1152654221
194	0.1152239544
195	0.1150523542
196	0.1149086334
197	0.1148677506
198	0.1147053703
199	0.1146121493
200	0.1145727436
201	0.1144285854
202	0.1143408286
203	0.114183812
204	0.1140967275
205	0.1139541382
206	0.1138462748
207	0.1136787383
208	0.1136353863
209	0.1135052388
210	0.1133079287
211	0.1132078689
212	0.1130709004
213	0.1129495744
214	0.1127881197
215	0.1126665202
216	0.1125418457
217	0.1124293279
218	0.1123841496
219	0.1122514892
220	0.1120883731
221	0.1119294039
222	0.1118858821
223	0.1117563436
224	0.1117143892
225	0.1116095849
226	0.1114482322
227	0.1113228696
228	0.111181074
229	0.1111456459
230	0.1110136153
231	0.1109093499
232	0.1108699464
233	0.1108365384
234	0.1107314648
235	0.1106949656
236	0.1106599011
237	0.1106370477
238	0.1106074942
239	0.1105841509
240	0.110561544
241	0.1105300623
242	0.110394327
243	0.1102795792
244	0.110258077
245	0.1102372482
246	0.1100766138
247	0.1099650413
248	0.1098603462
249	0.1097563367
250	0.1096239029
251	0.1095948895
252	0.1095040434
253	0.1094190474
254	0.1092940299
255	0.1092698223
256	0.10910518
257	0.1089802215
258	0.1088635631
259	0.1087531876
260	0.108659746
261	0.1085449792
262	0.108445849
263	0.1083058352
264	0.108202981
265	0.1080987729
266	0.1079858268
267	0.1078935628
268	0.107788522
269	0.1077154906
270	0.1076222836
271	0.1075078749
272	0.1074312231
273	0.1073305878
274	0.1072158038
275	0.1071415062
276	0.1071167227
277	0.106993133
278	0.1069072912
279	0.1068032672
280	0.1067165598
281	0.1066372429
282	0.1065339595
283	0.1064430169
284	0.1063991952
285	0.1063042991
286	0.1061827055
287	0.1060968426
288	0.1059872285
289	0.1059071522
290	0.1058089533
291	0.1057071151
292	0.1056291809
293	0.1055277177
294	0.1054376059
295	0.1053706122
296	0.1052619153
297	0.1051708606
298	0.1050708081
299	0.1049913166
300	0.1049684808
301	0.104857997
302	0.1047661343
303	0.1046753206
304	0.1046026907
305	0.1045806284
306	0.1045561422
307	0.1044589019
308	0.1043826547
309	0.1042781031
310	0.1041779159
311	0.1041157946
312	0.104077082
313	0.103981177
314	0.1038257392
315	0.1037285137
316	0.1036243993
317	0.1035669329
