iter	RMSE
0	5.15951329
1	5.090022007
2	5.021496753
3	4.953983147
4	4.887227809
5	4.821473015
6	4.756639072
7	4.6926707
8	4.629576203
9	4.567256182
10	4.505749477
11	4.445072982
12	4.385228014
13	4.326221364
14	4.268021573
15	4.2105328
16	4.153809071
17	4.09785732
18	4.042691535
19	3.988284121
20	3.934660882
21	3.881706684
22	3.829474491
23	3.777894892
24	3.727096177
25	3.676951609
26	3.627413711
27	3.578621749
28	3.530446233
29	3.482994283
30	3.436168994
31	3.38993062
32	3.344278548
33	3.299306346
34	3.254900097
35	3.21115166
36	3.167971661
37	3.125323915
38	3.083273478
39	3.041827644
40	3.000939518
41	2.960583818
42	2.920825427
43	2.881504838
44	2.842781504
45	2.804578935
46	2.766887297
47	2.729674048
48	2.692936603
49	2.656785496
50	2.621095951
51	2.585886094
52	2.551185805
53	2.516919068
54	2.483118066
55	2.449792199
56	2.416865302
57	2.384376163
58	2.352343726
59	2.320740695
60	2.28962005
61	2.258868807
62	2.228525905
63	2.198604693
64	2.169064732
65	2.139958459
66	2.111259779
67	2.082879568
68	2.054918346
69	2.027333789
70	2.000144257
71	1.973366657
72	1.946894524
73	1.920803332
74	1.89504097
75	1.869616069
76	1.844578907
77	1.819842385
78	1.79544679
79	1.771392385
80	1.747648256
81	1.724219859
82	1.701105255
83	1.678322353
84	1.655807962
85	1.633633471
86	1.611806025
87	1.590271773
88	1.568971069
89	1.547972762
90	1.527263629
91	1.506841132
92	1.486670245
93	1.466775373
94	1.447173723
95	1.427798256
96	1.408705433
97	1.389919911
98	1.371364988
99	1.353043453
